container;item;scale;time
rock_030k.stl;bobbin.stl;5,112265;183,647
rock_030k.stl;convexstone.stl;1,057848;22,251
rock_030k.stl;cube.obj;3,417929;22,247
rock_030k.stl;dagger.stl;0,206952;14,844
rock_030k.stl;dodecahedron.stl;2,006096;86,688
rock_030k.stl;dragon.obj;6,465562;90,794
rock_030k.stl;frustum.stl;4,420647;127,732
rock_030k.stl;gem.stl;0,203266;73,771
rock_030k.stl;helmet.stl;7,900621;376,65
rock_030k.stl;oloid.stl;0,214552;84,799
rock_030k.stl;pig.obj;3,534446;32,871
rock_030k.stl;ring.obj;1,310232;72,197
rock_030k.stl;sphere.stl;7,839589;331,643
rock_030k.stl;star.obj;1,890534;19,712
rock_030k.stl;star.stl;0,168812;12,668
rock_030k.stl;stone_1.obj;1,054838;43,348
rock_030k.stl;stone_2.obj;6,017489;27,566
rock_030k.stl;stone_3.obj;2,068041;68,276
rock_030k.stl;stone_4.obj;2,013211;35,736
rock_030k.stl;stone_5.obj;1,003115;21,423
rock_030k.stl;stone_6.obj;4,549114;31,92
rock_030k.stl;stone_7.obj;3,930774;166,213
rock_030k.stl;tetrahedron.stl;7,162981;24,412
rock_030k.stl;torus.stl;2,438473;106,869
rock_030k.stl;tree.stl;0,473102;31,38
rock_034k.stl;apple.stl;0,171147;164,471
rock_034k.stl;arrow.obj;1,04743;31,701
rock_034k.stl;banana.stl;2,301158;42,637
rock_034k.stl;bobbin.stl;2,561367;291,479
rock_034k.stl;convexstone.stl;0,658018;96,896
rock_034k.stl;cube.obj;2,030206;26,899
rock_034k.stl;dagger.stl;0,15856;102,289
rock_034k.stl;dodecahedron.stl;1,007154;132,823
rock_034k.stl;dragon.obj;3,795553;91,383
rock_034k.stl;frustum.stl;2,3057;119,541
rock_034k.stl;gem.stl;0,110015;178,48
rock_034k.stl;helmet.stl;4,374491;254,137
rock_034k.stl;oloid.stl;0,113989;152,215
rock_034k.stl;pig.obj;2,174917;181,376
rock_034k.stl;ring.obj;0,854323;126,212
rock_034k.stl;sphere.stl;4,055223;332,928
rock_034k.stl;star.obj;1,189339;41,702
rock_034k.stl;star.stl;0,120301;46,427
rock_034k.stl;stone_1.obj;0,567414;121,098
rock_034k.stl;stone_2.obj;3,462703;101,874
rock_034k.stl;stone_3.obj;1,21206;145,354
rock_034k.stl;stone_4.obj;1,157442;103,896
rock_034k.stl;stone_5.obj;0,583418;89,235
rock_034k.stl;stone_6.obj;2,613349;104,031
rock_034k.stl;stone_7.obj;1,969866;155,461
rock_034k.stl;tetrahedron.stl;3,994736;45,466
rock_034k.stl;torus.stl;1,609975;112,232
rock_034k.stl;tree.stl;0,255233;29,605
rock_050k.obj;apple.stl;0,010686;38,543
rock_050k.obj;arrow.obj;0,06342;10,504
rock_050k.obj;banana.stl;0,123682;19,142
rock_050k.obj;bobbin.stl;0,151625;57,382
rock_050k.obj;convexstone.stl;0,041755;19,432
rock_050k.obj;cube.obj;0,128646;13,941
rock_050k.obj;dagger.stl;0,010549;9,745
rock_050k.obj;dodecahedron.stl;0,063229;21,928
rock_050k.obj;dragon.obj;0,223905;93,134
rock_050k.obj;frustum.stl;0,137913;15,204
rock_050k.obj;gem.stl;0,006806;12,228
rock_050k.obj;helmet.stl;0,255763;124,038
rock_050k.obj;oloid.stl;0,006943;26,667
rock_050k.obj;pig.obj;0,133982;97,083
rock_050k.obj;ring.obj;0,052736;15,843
rock_050k.obj;sphere.stl;0,246954;110,693
rock_050k.obj;star.obj;0,072455;14,086
rock_050k.obj;star.stl;0,006977;8,561
rock_050k.obj;stone_1.obj;0,035922;40,95
rock_050k.obj;stone_2.obj;0,192807;23,682
rock_050k.obj;stone_3.obj;0,080757;26,448
rock_050k.obj;stone_4.obj;0,073448;15,479
rock_050k.obj;stone_5.obj;0,036685;47,75
rock_050k.obj;stone_6.obj;0,158751;38,826
rock_050k.obj;stone_7.obj;0,122918;19,441
rock_050k.obj;tetrahedron.stl;0,244104;9,323
rock_050k.obj;torus.stl;0,094579;32,971
rock_050k.obj;tree.stl;0,01493;15,702
rock_090k.obj;apple.stl;0,038023;30,453
rock_090k.obj;arrow.obj;0,212872;6,073
rock_090k.obj;banana.stl;0,359893;17,446
rock_090k.obj;bobbin.stl;0,532437;192,405
rock_090k.obj;convexstone.stl;0,121001;39,626
rock_090k.obj;cube.obj;0,362684;13,964
rock_090k.obj;dagger.stl;0,026567;13,751
rock_090k.obj;dodecahedron.stl;0,222951;40,932
rock_090k.obj;dragon.obj;0,712727;134,171
rock_090k.obj;frustum.stl;0,475495;49,085
rock_090k.obj;gem.stl;0,023908;21,839
rock_090k.obj;helmet.stl;0,885771;603,843
rock_090k.obj;oloid.stl;0,023526;75,731
rock_090k.obj;pig.obj;0,403839;120,694
